food_name,serving_size(g),energy_kcal,water_g,protein_g,fat_g,carb_g,sugars_g,fiber_g,sodium_mg,tags,description
숙주나물,100,35,91.9,2.22,1.58,2.96,1.58,1.7,403,"초저칼로리(35kcal), 저탄수화물(3.0g), 체중조절, 부피증가","100g당 35kcal, 탄수화물 3.0g으로 구성된 대표적인 저칼로리 반찬입니다. 식단의 전체 칼로리를 높이지 않으면서 음식의 부피를 늘려, 시각적·심리적 포만감을 주어야 하는 체중 조절 상황에 유용합니다."
무나물,100,28,79.7,0.7,1.14,3.86,1.53,1.0,136,"초저칼로리(28kcal), 저자극, 소화용이, 회복식","100g당 28kcal로 열량 기여도가 거의 없으며, 모든 영양소 함량이 낮아 소화기관에 부담이 적습니다. 부드러운 식감 덕분에, 질병이나 수술 후 회복 과정에서 소화 기능이 저하된 분들에게 적합합니다."
가지나물,100,36,91.8,1.42,1.5,4.18,2.34,2.7,274,"저칼로리(36kcal), 저탄수화물(4.2g), 항산화, 세포건강","100g당 36kcal, 탄수화물 4.2g으로 구성된 가볍고 건강한 반찬입니다. 가지의 안토시아닌 성분은 활성산소로부터 세포를 보호하는 항산화 역할을 하여, 건강한 신체 유지에 기여할 수 있습니다."
취나물무침,100,29,24.3,1.4,0.91,4.69,1.07,1.9,149,"초저칼로리(29kcal), 칼륨풍부, 나트륨배출, 부종관리","100g당 29kcal로 매우 가벼우며, 체내 나트륨 배출을 돕는 칼륨이 풍부하게 함유되어 있습니다. 평소 짜게 먹는 식습관을 가졌거나 부종 관리가 필요한 분들이 식단에 포함하면 긍정적인 효과를 볼 수 있습니다."
멸치볶음,100,276,27.5,39.44,7.08,13.62,11.6,10.1,2606,"고단백(39.4g), 고칼슘, 뼈건강, 근육형성","100g당 단백질이 39.4g에 달하는 압도적인 고단백 반찬으로, 칼슘 또한 풍부하게 함유하고 있습니다. 이러한 영양 구성은 성장기 청소년의 골격 형성이나 운동인의 근육량 증가 목표 달성에 매우 효과적입니다."
어묵볶음,100,197,57.6,8.41,7.29,24.33,6.31,2.5,818,"단백질(8.4g), 고탄수화물(24.3g), 에너지공급, 활동량보충","100g당 197kcal이며, 탄수화물(24.3g)과 단백질(8.4g)을 동시에 공급하여 효율적인 에너지원이 됩니다. 신체 활동량이 많아 에너지 소모가 큰 날, 빠른 에너지 보충과 함께 단백질을 공급하는 데 적합합니다."
소고기 장조림,100,188,60.7,14.9,10.52,6.9,1.39,0.4,840,"고단백(14.9g), 저탄수화물(6.9g), 근력향상, 근손실방지","100g당 14.9g의 양질의 동물성 단백질을 제공하며, 탄수화물은 6.9g으로 낮습니다. 근력 운동 후 근육 회복을 돕거나, 다이어트 중 발생할 수 있는 근손실을 방지하고자 하는 분들에게 훌륭한 단백질 공급원입니다."
두부조림,100,143,75.0,9.64,9.66,4.4,3.64,0.8,161,"식물성단백질(9.6g), 저탄수화물(4.4g), 혈당안정, 포만감유지","100g당 9.6g의 식물성 단백질을 공급하며, 탄수화물은 4.4g으로 매우 낮아 혈당에 미치는 영향이 적습니다. 단백질과 지방이 포만감을 오래 유지시켜 주어, 안정적인 혈당 관리가 필요한 분들에게 이상적인 반찬입니다."
감자조림,100,114,74.1,2.4,3.52,18.1,7.68,1.8,487,"탄수화물공급원(18.1g), 저지방(3.5g), 에너지보충, 포만감","100g당 114kcal이며, 주된 에너지는 18.1g의 탄수화물에서 나옵니다. 지방 함량(3.5g)은 낮으면서도 든든한 포만감을 주어, 식사량이 많거나 활동적인 날의 주된 에너지원으로 적합합니다."
연근조림,100,174,60.3,2.68,5.1,29.42,2.78,2.6,661,"고탄수화물(29.4g), 식이섬유(2.6g), 에너지원, 두뇌활동","100g당 174kcal로, 29.4g의 높은 탄수화물 함량을 통해 효과적인 에너지를 공급합니다. 꾸준한 에너지를 필요로 하는 공부나 업무 시, 두뇌 활동에 필요한 포도당을 공급하는 역할을 할 수 있습니다."
콩조림,100,198,14.8,13.5,6.44,22.36,6.45,7.3,620,"고단백(13.5g), 고섬유질(7.3g), 식물성단백질원, 채식식단",100g당 13.5g의 식물성 단백질과 7.3g의 풍부한 섬유질을 동시에 제공하는 영양 밀도 높은 반찬입니다. 육류 섭취 없이 단백질과 섬유질을 보충해야 하는 채식주의자들에게 매우 효과적인 영양 공급원입니다.
미역줄기볶음,100,77,86.8,0.96,5.95,4.85,0.55,4.3,505,"고섬유질(4.3g), 저칼로리(77kcal), 장환경개선, 변비완화","100g당 77kcal로 열량은 낮지만, 4.3g의 풍부한 수용성 식이섬유가 장 운동을 활발하게 만들어줍니다. 장내 환경을 개선하고 변비 완화에 직접적인 도움을 줄 수 있어, 관련 문제가 있는 분들에게 특히 추천됩니다."
우엉조림,100,188,53.0,4.8,3.33,34.8,28.43,5.8,1174,"고탄수화물(34.8g), 고섬유질(5.8g), 혈당관리보조","100g당 188kcal이며, 탄수화물(34.8g)과 섬유질(5.8g)이 매우 풍부한 건강 뿌리채소 반찬입니다. 우엉의 이눌린 성분과 풍부한 섬유질은 식후 혈당이 급격히 오르는 것을 방지하는 데 도움을 줄 수 있습니다."
깻잎장아찌,100,65,49.4,3.7,0.72,12.9,5.28,3.9,520,"저칼로리(65kcal), 저지방(0.7g), 철분보충, 미네랄공급","100g당 65kcal의 낮은 열량과 0.7g의 적은 지방으로 부담 없이 즐길 수 있습니다. 채소 반찬임에도 철분과 칼슘 함량이 높아, 식단을 통해 다양한 미네랄을 보충하고자 할 때 유용합니다."
고추장아찌,100,124,59.7,2.39,0.63,31.49,11.38,4.8,2026,"고탄수화물(31.5g), 신진대사촉진, 체지방감소보조","고추의 캡사이신 성분은 신체의 열 발생을 촉진하여 신진대사를 높이는 데 도움을 줍니다. 하지만 나트륨(2026mg) 함량이 매우 높아, 체지방 감소를 목표로 할 때 아주 소량만 섭취하는 것이 바람직합니다."
마늘장아찌,100,113,68.8,2.43,0.16,25.36,15.03,2.9,1127,"고탄수화물(25.4g), 무지방(0.2g), 면역력증진, 피로회복","마늘의 알리신 성분은 우리 몸의 면역 체계를 강화하고 피로를 회복하는 데 긍정적인 역할을 합니다. 건강 증진을 목표로 할 때 보조 식품으로서의 가치가 있지만, 당류가 높아 섭취량 조절이 필요합니다."
양파장아찌,100,63,69.2,0.6,0.03,16.05,15.42,1.0,6050,"저칼로리(63kcal), 무지방(0.0g), 혈관건강, 초고나트륨(섭취주의)","양파의 퀘르세틴 성분은 혈관 건강에 긍정적인 영향을 줄 수 있습니다. 하지만 나트륨 함량(6050mg)이 극도로 높아, 고혈압 등 혈관 질환이 있는 분들은 건강상 이점보다 위험이 훨씬 크므로 섭취를 피해야 합니다."
해물파전,100,106,36.4,6.0,3.99,10.63,0.28,0.5,267,"단백질(6.0g), 탄수화물(10.6g), 영양균형, 식사대용","100g당 106kcal이며, 탄수화물(10.6g)과 단백질(6.0g)을 균형 있게 공급합니다. 탄수화물과 단백질을 한 번에 섭취할 수 있어, 바쁜 시간에 간단한 한 끼 식사나 든든한 영양 간식으로 활용하기 좋습니다."
김치전,100,134,70.4,5.05,4.2,19.01,4.21,2.4,240,"탄수화물중심(19.0g), 단백질(5.1g), 에너지보충, 간편식","100g당 134kcal이며, 주된 에너지는 19.0g의 탄수화물에서 나옵니다. 계란이나 해물 등을 추가하면 단백질(5.1g)을 보충할 수 있어, 출출할 때 간단하게 에너지를 채우는 간식으로 적합합니다."
감자전,100,133,73.5,1.72,6.54,16.79,1.81,2.0,293,"탄수화물(16.8g), 지방(6.5g), 고에너지공급, 활동량보충","100g당 133kcal로, 주 에너지는 감자의 탄수화물(16.8g)과 조리용 기름의 지방(6.5g)에서 나옵니다. 운동이나 육체노동 등 신체 활동량이 많아 높은 에너지가 필요한 날, 효과적인 에너지 보충원 역할을 합니다."
완자전,100,320,65.7,11.0,23.11,15.75,0.52,4.1,162,"고칼로리(320kcal), 고단백(11.0g), 고지방(23.1g), 체중증량","100g당 320kcal, 단백질 11.0g, 지방 23.1g으로 구성된 고밀도 에너지 음식입니다. 소량만 섭취해도 높은 칼로리와 영양소를 공급받을 수 있어, 체중 증량이 목표이거나 벌크업 중인 사람에게 효과적입니다."
호박전,100,139,75.2,4.32,8.73,10.73,1.9,4.6,185,"고섬유질(4.6g), 지방(8.7g), 눈건강, 영양보충","100g당 139kcal이며, 4.6g의 풍부한 섬유질과 눈 건강에 좋은 베타카로틴을 함유하고 있습니다. 지방(8.7g)이 베타카로틴의 흡수를 돕기 때문에, 맛과 영양 흡수율을 동시에 고려한 스마트한 선택이 될 수 있습니다."
잡채,100,146,66.3,4.71,3.3,24.26,0.73,3.7,360,"고탄수화물(24.3g), 저지방(3.3g), 다양한영양소, 균형잡힌식사","100g당 146kcal이며, 당면으로 인해 탄수화물(24.3g) 함량이 높습니다. 다양한 채소를 통해 비타민, 미네랄, 섬유질을 한 번에 섭취할 수 있어, 한 가지 음식으로 균형 잡힌 영양을 공급받고자 할 때 적합합니다."
새우튀김,100,145,50.4,7.1,5.52,16.54,2.22,1.0,322,"단백질(7.1g), 탄수화물(16.5g), 에너지공급, 단백질보충","100g당 145kcal로, 튀김옷의 탄수화물(16.5g)과 새우의 단백질(7.1g)을 함께 섭취하여 에너지를 공급합니다. 튀김류를 먹으면서 동시에 단백질을 보충하고 싶을 때 좋은 대안이 될 수 있습니다."
오징어튀김,100,81,21.6,5.2,4.69,3.83,0.05,0.1,151,"저칼로리(81kcal), 단백질(5.2g), 저탄수화물(3.8g), 피로회복","100g당 81kcal로 튀김류 중 열량이 낮고, 탄수화물(3.8g) 대비 단백질(5.2g) 함량이 높습니다. 오징어의 타우린 성분은 피로 해소에 도움을 주어, 기운이 없을 때 영양 간식으로 활용하기 좋습니다."
김말이튀김,100,195,58.8,2.05,7.2,30.51,1.88,1.3,460,"고탄수화물(30.5g), 고에너지간식, 탄수화물집중공급","100g당 195kcal이며, 주재료인 당면과 튀김옷으로 인해 탄수화물(30.5g) 함량이 매우 높습니다. 단백질(2.1g)은 거의 없어, 운동 전이나 집중적인 활동 전에 빠른 에너지원(탄수화물)이 필요할 때 적합합니다."
단호박 샐러드,100,125,57.7,1.2,9.28,10.27,3.45,2.4,84,"고지방(9.3g), 탄수화물(10.3g), 눈건강, 에너지원","100g당 125kcal로, 마요네즈 드레싱으로 인해 지방 함량(9.3g)이 매우 높은 에너지원입니다. 단호박의 베타카로틴이 눈 건강에 좋지만, '샐러드'보다는 지방 중심의 에너지 공급원임을 인지하고 섭취해야 합니다."
마카로니 샐러드,100,100,45.5,4.1,5.56,8.13,0.78,1.1,247,"탄수화물(8.1g), 단백질(4.1g), 지방(5.6g) 균형, 포만감증진","100g당 100kcal이며, 탄수화물, 단백질, 지방이 비교적 균형 있게 분포합니다. 주식 대신 곁들이면, 탄수화물 섭취는 줄이면서 단백질과 지방으로 포만감을 높이는 역할을 하여 식사량 조절에 도움을 줍니다."
탕평채,100,97,79.6,3.55,3.81,12.26,0.39,2.7,260,"저칼로리(97kcal), 저지방(3.8g), 수분보충, 포만감","100g당 97kcal의 낮은 열량에 지방(3.8g)과 단백질(3.6g) 함량이 모두 낮습니다. 주재료인 청포묵은 수분 함량이 높아, 칼로리 섭취 없이 수분과 포만감을 동시에 채워야 할 때 좋은 선택입니다."
도토리묵무침,100,56,80.0,0.6,0.59,12.04,0.08,1.9,179,"초저칼로리(56kcal), 무지방(0.6g), 체중관리, 디톡스보조","100g당 56kcal, 지방 0.6g으로 열량 부담이 거의 없어 체중 관리에 매우 효과적인 음식입니다. 도토리의 탄닌 성분은 체내 중금속 배출을 돕는 역할을 하여, 건강한 식단 관리를 원하는 분들에게 추천됩니다."
파래무침,100,49,86.4,3.53,1.7,4.97,1.73,3.5,736,"저칼로리(49kcal), 단백질(3.5g), 저탄수화물(5.0g), 위건강보호","100g당 49kcal의 낮은 열량에도 불구하고 단백질(3.5g) 함량이 높아 영양밀도가 우수합니다. 파래의 비타민U 성분은 위 점막을 보호하는 역할을 하여, 평소 속쓰림이 잦은 분들에게 유익할 수 있습니다."
