food_code,food_name,one_serving_size(g),energy_kcal,water_g,protein_g,fat_g,carb_g,sugars_g,fiber_g,sodium_mg,tags,description
3152,메밀국수,600,378.0,503.4,18.8,1.7,72.4,0.0,4.8,1164.0,"고탄수화물(72.4g), 저지방(1.7g), 식이섬유(4.8g), 깔끔한식사","1인분(600g)에 378kcal이며, 72.4g의 탄수화물을 통해 에너지를 공급하고 지방은 1.7g으로 매우 낮습니다. 메밀에 포함된 식이섬유는 혈당 관리에 도움을 주어, 더운 날 깔끔하고 건강한 면 요리를 원하는 분들에게 좋습니다."
3187,물냉면,800,706.7,239.3,33.9,6.8,123.6,6.5,8.5,2869.3,"고단백(33.9g), 고탄수화물(123.6g), 고칼로리(707kcal), 여름보양식","1인분(800g)에 707kcal이며, 33.9g의 높은 단백질과 123.6g의 탄수화물을 동시에 제공하는 고열량 식사입니다. 시원하게 즐기면서도 높은 에너지를 보충할 수 있어, 더위로 기력이 떨어진 여름철 보양식으로 적합합니다."
6284,부대찌개,600,518.7,405.9,26.6,26.0,44.8,6.1,7.9,2109.3,"고단백(26.6g), 고지방(26.0g), 고나트륨(주의), 고칼로리(519kcal)","1인분(600g)에 519kcal이며, 햄과 소시지를 통해 26.6g의 단백질과 26.0g의 지방을 공급합니다. 여러 재료가 어우러져 든든하지만, 나트륨 함량(2109mg)이 매우 높아 혈압 관리가 필요한 분들은 섭취에 각별한 주의가 필요합니다."
3192,비빔냉면,550,511.5,98.5,22.0,7.9,86.2,8.0,6.9,990.0,"고단백(22.0g), 고탄수화물(86.2g), 고칼로리(512kcal), 식욕증진","1인분(550g)에 512kcal이며, 22.0g의 단백질과 86.2g의 탄수화물을 통해 에너지를 공급합니다. 매콤달콤한 양념이 입맛을 돋우는 역할을 하여, 식욕이 떨어진 날 별미로 즐기기에 좋은 메뉴입니다."
1018,비빔밥,550,671.4,248.7,23.6,15.2,108.4,9.8,8.0,1187.1,"고탄수화물(108.4g), 고단백(23.6g), 영양균형, 식이섬유풍부","1인분(550g)에 671kcal이며, 108.4g의 탄수화물과 23.6g의 단백질을 제공하는 균형 잡힌 식사입니다. 다양한 채소를 통해 비타민과 풍부한 식이섬유(8.0g)를 함께 섭취할 수 있어, 한 끼로 여러 영양소를 챙기고 싶을 때 최고의 선택입니다."
8382,삼겹살,180,783.0,64.1,33.1,67.1,11.7,5.2,4.3,977.4,"초고지방(67.1g), 고단백(33.1g), 고칼로리(783kcal), 기력보충","1인분(180g)에 783kcal이며, 67.1g의 매우 높은 지방과 33.1g의 단백질로 구성된 고에너지 육류입니다. 높은 지방 함량은 빠르게 기력을 보충하고 포만감을 주어, 회식이나 특별한 날 에너지 충전 메뉴로 적합합니다."
5228,삼계탕,1000,784.0,383.2,74.6,31.8,46.4,5.1,6.6,1180.0,"초고단백(74.6g), 고칼로리(784kcal), 원기회복, 여름보양식","1인분(1000g)에 784kcal이며, 닭 한 마리를 통해 74.6g이라는 압도적인 양의 단백질을 공급합니다. 예로부터 원기 회복을 위한 보양식으로 알려져 있으며, 수술 후 회복이나 심한 피로를 느끼는 분들에게 특히 좋습니다."
14640,샐러드,150,193.4,104.6,7.4,13.4,15.9,6.9,3.1,325.6,"고지방(13.4g), 저탄수화물(15.9g), 건강한지방, 가벼운식사","1인분(150g)에 193kcal이며, 드레싱으로 인해 13.4g의 지방을 함유하고 있는 샐러드입니다. 닭가슴살 등을 추가하면 단백질을 보충할 수 있어, 탄수화물 섭취를 줄이고 가벼운 식사를 원하는 분들에게 적합합니다."
5231,설렁탕,600,204.0,263.0,18.0,6.1,17.7,0.6,2.6,580.0,"단백질(18.0g), 저지방(6.1g), 저자극, 든든한아침","1인분(600g)에 204kcal이며, 18.0g의 단백질을 공급하고 지방은 6.1g으로 낮아 담백합니다. 자극적이지 않고 속을 편안하게 해주어, 든든한 아침 식사나 해장이 필요한 분들에게 좋은 선택입니다."
6291,순두부찌개,400,157.3,358.1,14.1,6.9,9.6,4.0,3.2,1001.3,"단백질(14.1g), 저탄수화물(9.6g), 식물성단백질, 저칼로리식단","1인분(400g)에 157kcal이며, 부드러운 순두부를 통해 14.1g의 식물성 단백질을 공급하는 저칼로리 찌개입니다. 탄수화물 함량(9.6g)이 낮아, 체중 조절 중에도 부담 없이 단백질을 보충하고 싶을 때 이상적입니다."
3161,스파게티,500,869.9,291.1,25.5,40.6,100.4,14.5,8.6,1439.1,"고탄수화물(100.4g), 고지방(40.6g), 고칼로리(870kcal), 에너지공급","1인분(500g)에 870kcal이며, 100.4g의 탄수화물과 40.6g의 지방으로 구성된 고에너지 파스타입니다. 운동 전이나 높은 신체 활동이 예정된 날, 집중적인 에너지를 공급받아야 할 때 효과적인 메뉴입니다."
8388,연어구이,100,191.2,75.5,22.3,10.6,0.2,0.1,0.0,919.6,"고단백(22.3g), 오메가3, 건강한지방(10.6g), 저탄수화물(0.2g)","1인분(100g)에 191kcal이며, 22.3g의 양질의 단백질과 10.6g의 건강한 지방(오메가-3)을 공급합니다. 탄수화물은 거의 없어, 깨끗한 단백질과 지방을 섭취하여 심혈관 건강까지 챙기고자 하는 분들에게 최고의 선택입니다."
9457,오믈렛,100,112.3,53.8,8.1,7.5,2.2,0.8,0.2,352.0,"단백질(8.1g), 지방(7.5g), 저탄수화물(2.2g), 간단한아침","1인분(100g)에 112kcal이며, 계란을 통해 8.1g의 단백질과 7.5g의 지방을 공급하는 저탄수화물 식사입니다. 아침에 탄수화물 섭취를 줄이고 단백질 위주로 간단하고 든든하게 식사하고 싶은 분들에게 적합합니다."
3164,우동,700,520.9,476.4,16.4,9.1,91.6,2.3,7.2,1990.9,"고탄수화물(91.6g), 단백질(16.4g), 고나트륨(주의), 따뜻한식사","1인분(700g)에 521kcal이며, 91.6g의 높은 탄수화물을 통해 든든한 포만감을 제공합니다. 따뜻한 국물이 속을 편안하게 해주지만, 나트륨 함량(1991mg)이 높아 국물 섭취는 최소화하는 것이 좋습니다."
10529,제육볶음,200,253.7,121.3,22.1,11.5,14.7,7.3,2.3,510.3,"고단백(22.1g), 지방(11.5g), 에너지보충, 든든한반찬","1인분(200g)에 254kcal이며, 돼지고기를 통해 22.1g의 풍부한 단백질을 공급하는 볶음 요리입니다. 밥과 함께 먹으면 탄수화물과 단백질을 동시에 섭취하여, 활동적인 날 든든한 에너지원으로 훌륭한 역할을 합니다."
7344,족발,150,339.8,86.3,41.2,19.2,0.7,0.2,1.7,507.8,"초고단백(41.2g), 고지방(19.2g), 콜라겐, 피부건강, 근력운동","1인분(150g)에 340kcal이며, 41.2g의 매우 높은 단백질과 19.2g의 지방을 함유하고 있습니다. 풍부한 단백질과 콜라겐은 근육 형성 및 피부 건강에 도움을 줄 수 있어, 운동 후 회복식이나 영양 보충이 필요할 때 좋습니다."
3168,짜장면,650,772.5,284.3,26.8,12.6,141.2,14.0,13.6,2220.4,"초고탄수화물(141.2g), 고단백(26.8g), 고칼로리(773kcal), 에너지집중","1인분(650g)에 773kcal이며, 141.2g의 압도적인 탄수화물 양으로 구성된 고에너지 면 요리입니다. 단기간에 집중적인 에너지를 필요로 하는 상황이나, 높은 칼로리 섭취가 목표인 '치팅데이' 메뉴로 적합합니다."
12549,치킨,200,564.4,96.4,42.0,24.6,26.7,6.5,1.5,797.1,"고단백(42.0g), 고지방(24.6g), 고칼로리(564kcal), 근력운동, 벌크업","1인분(200g)에 564kcal이며, 42.0g의 높은 단백질과 24.6g의 지방을 동시에 공급하는 고에너지 튀김 요리입니다. 근육량 증가를 목표로 하는 벌크업 식단이나, 고강도 운동 후 단백질과 칼로리를 함께 보충해야 하는 분들에게 적합합니다."
3174,칼국수,600,457.2,326.3,18.9,5.8,80.2,2.9,6.0,1275.8,"고탄수화물(80.2g), 단백질(18.9g), 저지방(5.8g), 든든한한끼","1인분(600g)에 457kcal이며, 80.2g의 높은 탄수화물과 18.9g의 단백질을 공급하고 지방은 5.8g으로 낮습니다. 부담스럽지 않으면서도 든든한 포만감을 원할 때, 따뜻한 한 끼 식사로 좋은 선택입니다."
12566,탕수육,200,333.7,115.0,20.0,14.0,30.7,10.7,2.3,493.0,"단백질(20.0g), 탄수화물(30.7g), 지방(14.0g), 균형잡힌특식","1인분(200g)에 334kcal이며, 단백질(20.0g), 탄수화물(30.7g), 지방(14.0g)이 비교적 균형 있게 분포된 튀김 요리입니다. 고기, 튀김, 소스를 통해 다양한 영양소를 섭취할 수 있어, 맛과 영양을 모두 고려한 특식으로 즐기기 좋습니다."
2120,피자,200,503.6,87.4,25.2,22.9,53.9,8.3,4.4,851.4,"고단백(25.2g), 고탄수화물(53.9g), 고지방(22.9g), 고칼로리(504kcal)","1인분(200g)에 504kcal이며, 치즈와 토핑을 통해 25.2g의 단백질, 도우를 통해 53.9g의 탄수화물을 공급합니다. 다양한 영양소를 한번에 섭취할 수 있는 고에너지 식사로, 여러 사람이 함께 즐기는 파티나 모임에 잘 어울립니다."
2123,햄버거,200,424.3,83.2,20.2,20.5,39.1,6.6,5.6,775.2,"단백질(20.2g), 탄수화물(39.1g), 지방(20.5g), 간편한균형식","1인분(200g)에 424kcal이며, 패티(단백질), 번(탄수화물), 소스(지방)를 통해 필수 영양소를 간편하게 섭취할 수 있습니다. 바쁜 일정 속에서 균형 잡힌 식사를 빠르게 해결해야 하는 상황에 매우 효율적인 선택입니다."
8406,훈제오리,250,722.5,127.0,55.1,51.0,10.9,0.7,0.6,1720.0,"초고단백(55.1g), 고지방(51.0g), 고칼로리(723kcal), 기력보충","1인분(250g)에 723kcal이며, 55.1g의 매우 높은 단백질과 51.0g의 불포화지방을 함유한 보양식입니다. 풍부한 단백질과 건강한 지방은 기력 회복과 체력 증진에 도움을 주어, 영양 보충이 집중적으로 필요한 분들에게 좋습니다."
